	id	week	value
403	KPI06	10	0.71
404	KPI08	10	0.0
405	KPI09	10	9787.0
406	KPI10	10	0.93
407	KPI11	10	17.0
408	KPI12	10	0.9982704183968861
409	KPI13	10	0.3579364549394395
410	KPI15	10	0.0
411	KPI16	10	0.61
412	KPI17	10	3231.0
413	KPI18	10	22054.0
414	KPI19	10	0.82
415	KPI20	10	0.63
416	KPI21	10	0.9298762035376859
417	KPI22	10	0.5104166666666666
418	KPI25	10	7498.0
419	KPI26	10	1625.0
420	KPI27	10	
421	KPI28	10	0.9752269220020171
422	KPI29	10	376.0
423	KPI30	10	214.0
424	KPI31	10	6034.0
425	KPI32	10	0.9624711180270665
426	KPI33	10	0.71625
427	KPI34	10	1.0
428	KPI35	10	182.0
429	KPI36	10	167.0
430	KPI37	10	0.975609756097561
431	KPI38	10	0.061389337641357025
432	KPI39	10	0.9925911355887752
433	KPI40	10	0.9523809523809524
434	KPI41	10	1.0
435	KPI42	10	0.7541205188726825
436	KPI43	10	1.0
437	KPI44	10	53.0
438	KPI45	10	0.9605617269216296
439	KPI46	10	104.0
440	KPI01	11	0.9666666666666667
441	KPI02	11	0.9142857142857143
442	KPI03	11	0.9523809523809523
443	KPI47	11	0.875
444	KPI48	11	20620.0
445	KPI04	11	41771.0
446	KPI05	11	5904.0
447	KPI06	11	0.94
448	KPI08	11	0.029411764705882353
449	KPI09	11	10077.0
450	KPI10	11	0.85
451	KPI11	11	15.0
452	KPI12	11	0.9965934742643917
453	KPI13	11	0.10766178310334044
454	KPI15	11	0.43243243243243246
455	KPI16	11	0.85
456	KPI17	11	3108.0
457	KPI18	11	23593.0
458	KPI19	11	0.65
459	KPI20	11	0.86
460	KPI21	11	0.9372417783207208
461	KPI22	11	0.8333333333333334
462	KPI25	11	6553.0
463	KPI26	11	724.0
464	KPI27	11	1.0
465	KPI28	11	0.9903272904246259
466	KPI29	11	350.0
467	KPI30	11	178.0
468	KPI31	11	8249.0
469	KPI32	11	0.954412811927092
470	KPI33	11	1.095625
471	KPI34	11	0.0
472	KPI35	11	200.0
473	KPI36	11	170.0
474	KPI37	11	0.9841269841269841
475	KPI38	11	0.03762376237623762
476	KPI39	11	0.9444444444444445
477	KPI40	11	1.0
478	KPI41	11	0.9375929203539822
479	KPI42	11	
480	KPI43	11	0.9479383590170762
481	KPI44	11	59.0
482	KPI45	11	0.9612040191753144
483	KPI46	11	283.0
484	KPI01	12	0.9574468085106383
485	KPI02	12	0.9705882352941176
486	KPI03	12	0.9508196721311475
487	KPI47	12	0.9375
488	KPI48	12	15001.0
489	KPI04	12	31597.0
490	KPI05	12	19882.0
491	KPI06	12	0.87
492	KPI08	12	0.0
493	KPI09	12	7734.0
494	KPI10	12	0.91
495	KPI11	12	8.0
496	KPI12	12	0.9589770265780985
497	KPI13	12	0.1796644881104184
498	KPI15	12	0.3103448275862069
499	KPI16	12	0.67
500	KPI17	12	3085.0
501	KPI18	12	23349.0
502	KPI19	12	0.73
503	KPI20	12	0.67
504	KPI21	12	0.9863614223088164
505	KPI22	12	1.0
506	KPI25	12	7354.0
507	KPI26	12	32.0
508	KPI27	12	0.9973376548211599
509	KPI28	12	0.985058246544648
510	KPI29	12	99.0
511	KPI30	12	294.0
512	KPI31	12	6264.0
513	KPI32	12	0.9624711180270665
514	KPI33	12	1.2125
515	KPI34	12	0.0
516	KPI35	12	215.0
517	KPI36	12	166.0
518	KPI37	12	1.0
519	KPI38	12	0.07692307692307693
520	KPI39	12	0.99
521	KPI40	12	0.86
522	KPI41	12	1.0
523	KPI42	12	1.0
524	KPI43	12	1.0
525	KPI44	12	62.0
526	KPI45	12	0.9094845131206407
527	KPI46	12	236.0
528	KPI01	13	1.0
529	KPI02	13	1.0
530	KPI03	13	0.9861111111111112
531	KPI47	13	1.0
532	KPI48	13	17469.0
533	KPI04	13	44080.0
534	KPI05	13	10452.0
535	KPI06	13	1.44
536	KPI08	13	0.0
537	KPI09	13	9095.0
538	KPI10	13	0.79
539	KPI11	13	9.0
540	KPI12	13	0.995101716237604
541	KPI13	13	0.7919881108766467
542	KPI15	13	0.8571428571428571
543	KPI16	13	0.75
544	KPI17	13	2159.0
545	KPI18	13	23470.0
546	KPI19	13	0.95
547	KPI20	13	0.89
548	KPI21	13	0.972156862745098
549	KPI22	13	0.75
550	KPI25	13	7867.0
551	KPI26	13	3021.0
552	KPI27	13	1.0
553	KPI28	13	0.9858301523876446
554	KPI29	13	132.0
555	KPI30	13	305.0
556	KPI31	13	5500.0
557	KPI32	13	0.9624711180270665
558	KPI33	13	0.4115625
559	KPI34	13	0.0
560	KPI35	13	160.0
561	KPI36	13	124.0
562	KPI37	13	0.9864864864864865
563	KPI38	13	0.0
564	KPI39	13	0.9944444444444445
565	KPI40	13	1.0
